pi,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
0,0.0453,1.0391513507564303,0.38076392987423086,8.90660790623504,22.695461561213317,9.003429777131037,3.931697767624171,0.561557671112992,0.0451
0.01,0.0346,1.04429163796982,0.28405281555857964,112.1126558073939,59810.76630315549,111.69299634735432,56496.57098473661,0.4567196090931737,0.0393
0.02,0.0226,1.0241801284227336,0.20651303121454095,209.47169920904858,118320.82032602334,208.81152354989908,104141.32350333508,0.3872392121673277,0.027
0.03,0.0211,1.0229048229389073,0.18298391038255415,313.898737329101,186865.50232163037,313.7879505833469,162489.51269934056,0.34197710477771226,0.0299
0.04,0.0156,1.019248432783192,0.1688602235576816,412.4534578352157,252076.31003290467,416.4483326559839,220552.84949639227,0.31074258586286896,0.0309
0.05,0.0186,1.0257173548983096,0.1809153049115832,503.96832262610513,326416.59631045966,502.0731163653615,258886.0957739244,0.2901073731171395,0.0359
0.06,0.0186,1.0304354946289314,0.18583554935316954,619.1486002856607,428130.5861975141,616.2836371717177,332919.4093786076,0.27361625930261335,0.0434
0.07,0.0193,1.0303378782607497,0.19849537552260083,708.9516253036084,493367.469588897,708.7913157916453,371107.9757435418,0.2651588878896311,0.0435
0.08,0.0205,1.0332663140484595,0.20936494008800022,819.8956697385403,578980.5158628947,817.6546516892548,429392.9273885555,0.2582810669267307,0.0495
0.09,0.0187,1.024406686965283,0.21149272966913013,918.3176669943309,682482.9788883762,921.2641143854854,475554.5167702613,0.2524919412097418,0.0515
0.1,0.02,1.0276477046069228,0.22224683478358812,996.9727626989683,750034.2688250196,999.3066830365813,517811.1942342113,0.25015750762131767,0.0556
